age,allergy_peanut,allergy_cashew,login_30d,view_cashew_30d,view_peanut_30d,click_rec_cashew_30d,click_rec_peanut_30d,purchase_cashew_90d,purchase_peanut_90d,days_since_last_purchase,days_since_last_active,label_confidence,gender_female,gender_male,activity_high,activity_low,activity_moderate,goal_energy,goal_healthy,goal_snack,source_general,source_history,source_questionnaire
35,0,0,3,10,11,3,5,1,0,41,1,0.651,True,False,False,False,True,True,False,False,True,False,False
38,0,0,8,7,12,1,2,0,1,55,6,0.784,False,True,True,False,False,False,False,True,False,True,False
44,0,0,7,8,11,2,3,1,0,29,4,0.738,True,False,False,False,True,True,False,False,False,True,False
20,0,0,7,6,5,3,1,0,0,18,9,0.567,True,False,False,False,True,False,True,False,False,True,False
31,1,0,6,4,5,2,2,1,0,27,6,0.85,True,False,False,False,True,False,False,True,False,False,True
20,0,0,5,7,4,1,3,0,1,39,3,0.75,True,False,True,False,False,False,True,False,False,False,True
36,0,0,7,8,10,0,1,0,0,10,10,0.784,True,False,False,False,True,False,True,False,False,False,True
30,0,0,4,4,4,0,1,2,0,32,0,0.693,True,False,False,True,False,False,True,False,False,False,True
24,0,1,11,6,13,0,5,1,1,34,3,0.85,True,False,True,False,False,True,False,False,True,False,False
29,0,0,7,7,10,3,6,1,0,10,16,0.711,True,False,True,False,False,False,True,False,True,False,False
27,0,0,4,10,8,4,0,1,0,13,1,0.754,True,False,False,True,False,True,False,False,False,True,False
38,0,0,6,4,2,1,1,0,0,36,8,0.597,False,True,False,True,False,False,False,True,False,False,True
38,0,0,7,5,8,0,2,0,0,73,0,0.95,True,False,True,False,False,True,False,False,False,False,True
20,0,0,6,6,9,0,2,0,1,25,9,0.71,False,True,False,False,True,True,False,False,False,True,False
45,0,0,8,6,7,4,2,1,0,51,9,0.872,True,False,True,False,False,True,False,False,False,False,True
39,0,0,7,9,11,2,0,1,3,7,12,0.883,True,False,True,False,False,True,False,False,False,False,True
23,0,0,9,7,7,0,4,0,2,31,14,0.754,True,False,True,False,False,False,True,False,False,False,True
19,0,0,1,4,0,0,1,2,1,0,8,0.703,True,False,False,True,False,False,False,True,False,True,False
23,0,0,5,9,9,3,3,0,0,32,9,0.645,True,False,False,True,False,True,False,False,False,False,True
28,0,0,7,8,7,7,1,0,3,26,7,0.778,True,False,False,False,True,False,False,True,False,True,False
45,0,0,4,6,7,2,3,1,1,22,5,0.598,False,True,False,False,True,False,False,True,False,True,False
43,0,0,0,4,10,0,3,2,2,33,15,0.694,True,False,False,True,False,True,False,False,False,False,True
40,0,0,4,6,0,3,0,0,0,23,9,0.707,False,True,False,True,False,False,True,False,True,False,False
21,0,0,5,8,12,6,3,1,2,19,8,0.653,True,False,False,False,True,False,True,False,False,True,False
41,0,0,6,6,8,2,3,0,2,14,7,0.63,True,False,False,False,True,True,False,False,False,False,True
